tt0053143	Operation Petticoat	Operation Petticoat		124	Comedy,Romance,War	7.3	10308
tt0053168	Pickpocket	Pickpocket		76	Crime,Drama	7.8	15372
tt0053172	Pillow Talk	Pillow Talk		102	Comedy,Romance	7.5	12549
tt0053198	The 400 Blows	Les quatre cents coups		99	Crime,Drama	8.1	80735
tt0053221	Rio Bravo	Rio Bravo		141	Action,Drama,Western	8	47299
tt0053285	Sleeping Beauty	Sleeping Beauty		75	Animation,Family,Fantasy	7.3	112658
tt0053291	Some Like It Hot	Some Like It Hot		121	Comedy,Romance	8.3	198255
tt0053318	Suddenly, Last Summer	Suddenly, Last Summer		114	Drama,Mystery,Thriller	7.6	11524
tt0053459	Eyes Without a Face	Les yeux sans visage		90	Drama,Horror	7.8	19837
tt0053472	Breathless	À bout de souffle		90	Crime,Drama	7.9	58968
tt0053580	The Alamo	The Alamo		167	Adventure,Drama,History	6.9	12001
tt0053604	The Apartment	The Apartment		125	Comedy,Drama,Romance	8.3	126063
tt0053619	L'Avventura	L'avventura		143	Drama,Mystery	7.9	20760
