57012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	95	385545	8.5
57076	From Russia with Love	From Russia with Love	1963	115	98932	7.5
57091	The Leopard	Il gattopardo	1963	186	18544	8.1
57115	The Great Escape	The Great Escape	1963	172	188164	8.2
57129	The Haunting	The Haunting	1963	112	29085	7.6
57163	Hud	Hud	1963	112	16582	7.9
57187	Irma la Douce	Irma la Douce	1963	147	14060	7.4
57193	It's a Mad Mad Mad Mad World	It's a Mad Mad Mad Mad World	1963	205	32275	7.6
57197	Jason and the Argonauts	Jason and the Argonauts	1963	104	19391	7.4
57261	Lord of the Flies	Lord of the Flies	1963	92	15021	7
57298	McLintock!	McLintock!	1963	127	10414	7.3
57345	Contempt	Le mépris	1963	103	22792	7.7
57358	Winter Light	Nattvardsgästerna	1963	81	16190	8.1
57372	The Nutty Professor	The Nutty Professor	1963	107	13440	6.7
57413	The Pink Panther	The Pink Panther	1963	115	41942	7.2
57427	The Trial	Le procès	1962	119	15664	7.8
57565	High and Low	Tengoku to jigoku	1963	143	21078	8.4
57611	The Silence	Tystnaden	1963	96	13826	8
57831	Zorba the Greek	Alexis Zorbas	1964	142	17252	7.8
57869	Band of Outsiders	Bande à part	1964	95	18595	7.8
57877	Becket	Becket	1964	148	12010	8
58003	Red Desert	Il deserto rosso	1964	117	10739	7.7
58083	Fail-Safe	Fail-Safe	1964	112	16492	8
58150	Goldfinger	Goldfinger	1964	110	150684	7.8
58182	A Hard Day's Night	A Hard Day's Night	1964	87	34583	7.7
58213	Hush...Hush, Sweet Charlotte	Hush...Hush, Sweet Charlotte	1964	133	10380	7.7
58279	Kwaidan	Kaidan	1964	183	11660	8
58329	Marnie	Marnie	1964	130	37739	7.2
58331	Mary Poppins	Mary Poppins	1964	139	122921	7.8
58385	My Fair Lady	My Fair Lady	1964	170	74580	7.9
58430	Onibaba	Onibaba	1964	103	12386	8
58450	The Umbrellas of Cherbourg	Les parapluies de Cherbourg	1964	91	18332	7.8
58461	Fistful of Dollars	Per un pugno di dollari	1964	99	165501	8
58576	Seven Days in May	Seven Days in May	1964	118	10505	7.9
58586	A Shot in the Dark	A Shot in the Dark	1964	102	21800	7.6
58625	Woman in the Dunes	Suna no onna	1964	123	13352	8.5
58700	The Last Man on Earth	The Last Man on Earth	1964	86	14299	6.9
58777	Zulu	Zulu	1964	138	31591	7.8
58888	Red Beard	Akahige	1965	185	12864	8.3
58898	Alphaville	Alphaville, une étrange aventure de Lemmy Caution	1965	99	18837	7.2
